route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count,route_long_name,route_desc,route_type,route_url
1092,HSL,92,A-bus,0,11,Itäkeskus(M)-Myllypuro,,701,http://aikataulut.hsl.fi/linjat/fi/b92.html
1092N,HSL,92N,C-bus,0,14,Rautatientori-Myllypuro-Kivikko-Kontula (Keinutie),,701,http://aikataulut.hsl.fi/linjat/fi/h92n.html
1094,HSL,94,A-bus,0,11,Itäkeskus(M)-Porttitie-Kontula(M)-Kontulankaari,,701,http://aikataulut.hsl.fi/linjat/fi/h94.html
1094A,HSL,94A,A-bus,0,11,Kotikonnuntie-Kontula(M)-Kivikko-Kontula(M),,701,http://aikataulut.hsl.fi/linjat/fi/h94a.html
1094B,HSL,94B,M-bus,230,1.5,Kivikonlaita-Kontula(M),,701,http://aikataulut.hsl.fi/linjat/fi/h94b.html
1094N,HSL,94N,A-bus,0,11,Rautatientori-Roihuvuori-Kontulankaari,,701,http://aikataulut.hsl.fi/linjat/fi/h94n.html
1095,HSL,95,A-bus,0,11,Itäkeskus(M)-Mellunmäki(M)-Kontula(M)-Keinutie,,701,http://aikataulut.hsl.fi/linjat/fi/b95.html
1095N,HSL,95N,C-bus,0,14,Rautatientori-Tammisalo-Roihuv.-Mellunmäki-Länsimäki,,701,http://aikataulut.hsl.fi/linjat/fi/h95n.html
1096,HSL,96,A-bus,1100,11,Vuosaari(M)-Porslahdentie,,701,http://aikataulut.hsl.fi/linjat/fi/b96.html
1096N,HSL,96N,C-bus,1300,14,Rautatientori-Aurinkolahti-Vuosaari(Porslahdentie),,701,http://aikataulut.hsl.fi/linjat/fi/h96n.html
1097,HSL,97,A-bus,0,11,Itäkeskus(M)-Vartioharju-Mellunmäki(M),,701,http://aikataulut.hsl.fi/linjat/fi/h97_97v.html
1097N,HSL,97N,C-bus,0,14,Rautatient.-Puotila-Mellunmäki(M)-Kontula (Kotikonnuntie),,701,http://aikataulut.hsl.fi/linjat/fi/h97n.html
1097V,HSL,97V,A-bus,0,11,Itäkeskus(M)-Puotila-Vartioharju-Mellunmäki(M),,701,http://aikataulut.hsl.fi/linjat/fi/h97_97v.html
1098,HSL,98,A-bus,0,11,Itäkeskus(M)-Marjaniemi-Rastila(M),,701,http://aikataulut.hsl.fi/linjat/fi/b98.html
1500,HSL,500,C-bus,0,14,Itäkeskus(M)-Pasila-Munkkivuori,,702,http://aikataulut.hsl.fi/linjat/fi/b500.html
1506,HSL,506,A-bus,1100,11,Myllypuro(M)-Viikki-Kumpula-Pasila-Ruskeasuo,,701,http://aikataulut.hsl.fi/linjat/fi/b506.html
1603,HSL,603,M-bus,230,1.5,Malmi-Oulunkylä-Koskela-Käpylä-Maunula-Pakila-Paloheinä,,704,http://aikataulut.hsl.fi/linjat/fi/b603.html
1701,HSL,701,M-bus,230,1.5,Viikki-Pihlajamäki-Malmi-Suutarila-Siltamäki,,704,http://aikataulut.hsl.fi/linjat/fi/b701.html
1702,HSL,702,M-bus,230,1.5,Jakomäki-Puistola-Malmi-Tapaninvainio-Savela,,704,http://aikataulut.hsl.fi/linjat/fi/b702.html
1704,HSL,704,M-bus,230,1.5,Malmi-Sepänmäki,,704,http://aikataulut.hsl.fi/linjat/fi/b704.html
1802,HSL,802,M-bus,230,1.5,Itäkeskus(M)-Jollas,,704,http://aikataulut.hsl.fi/linjat/fi/b802.html
1805,HSL,805,M-bus,230,1.5,Itäkeskus (M)-Myllypuro,,704,http://aikataulut.hsl.fi/linjat/fi/b805.html
1812,HSL,812,M-bus,230,1.5,Mellunmäki-Myllypuro,,704,http://aikataulut.hsl.fi/linjat/fi/b812.html
1813,HSL,813,M-bus,230,1.5,Vuosaari(M)-Merikorttikuja,,704,http://aikataulut.hsl.fi/linjat/fi/b813.html
